name,price,city,year
"3-комнатная квартира, 99.15 м², Аскарова — Саина",71280000Ипека0%Рассрочка,"Алматы, Ауэзовский р-н",2023
"2-комнатная квартира, 54.9 м², 6/6 этаж, мкр Жулдыз-1, мкр Жулдыз-2 27г",34000000,"Алматы, Турксибский р-н",2007
"2-комнатная квартира, 83.5 м², мкр. Астана 1/18",463039507-20-25Ипека,"Алматы, Ауэзовский р-н",2021
"5-комнатная квартира, 315 м², Аскар Тау 364",378000000,"Алматы, Медеуский р-н",2022
"2-комнатная квартира, 81.7 м², Жарокова 218",63726000Ипека0%Рассрочка,"Алматы, Бостандыкский р-н",2023
"2-комнатная квартира, 68.6 м², 6/9 этаж, мкр Кокжиек, Мкр Кокжиек Сити 11 — Это новый Жк сдача через три месяца",22295000,"Алматы, Жетысуский р-н",2023
"3-комнатная квартира, 120.9 м², ул. Жулдыз-5",60450000Ипека,"Алматы, Бостандыкский р-н",2022
"3-комнатная квартира, 144.4 м², мкр «Мирас» 31",118030000Ипека0%Рассрочка,"Алматы, Бостандыкский р-н",2016
"2-комнатная квартира, 55 м², 13/16 этаж, Навои 208/1 — Торайгырова",49500000,"Алматы, Бостандыкский р-н",2015
"2-комнатная квартира, 85 м², 2/20 этаж, Прокофьева 148 — Шакарима",52900000,"Алматы, Алмалинский р-н",2007
"2-комнатная квартира, 55.7 м², Гагарина 277/7",45117000Ипека,"Алматы, Бостандыкский р-н",2021
"2-комнатная квартира, 96 м², 15/16 этаж, мкр Шугыла, Жуалы 28 — Сабденова",30500000,"Алматы, Наурызбайский р-н",2012
"3-комнатная квартира, 68 м², 2/5 этаж, Навои 310 — проспект Аль-Фараби",65000000,"Алматы, Бостандыкский р-н",1977
"4-комнатная квартира, 153.7 м², мкр Курамыс 78",130645000Ипека0%Рассрочка,"Алматы, Наурызбайский р-н",2023
"2-комнатная квартира, 50 м², 11/12 этаж, проспект Абая 165 — Тургут Озала",50500000,"Алматы, Алмалинский р-н",2022
"3-комнатная квартира, 100.1 м², Розыбакиева 237",79079000Ипека,"Алматы, Бостандыкский р-н",2022
"4-комнатная квартира, 172.75 м², мкр Аскартау, Ремизовка",134745000Ипека0%Рассрочка,"Алматы, Бостандыкский р-н",2021
"2-комнатная квартира, 71.41 м², Егизбаева 7г",52557760Ипека0%Рассрочка,"Алматы, Бостандыкский р-н",2024
"4-комнатная квартира, 200 м², 2/3 этаж, Оспанова 85/52 — проспект Аль-Фараби",340000000,"Алматы, Медеуский р-н",2019
"1-комнатная квартира, 42.3 м², 4/5 этаж, мкр Аксай-5 8",30000000,"Алматы, Ауэзовский р-н",1990
"2-комнатная квартира, 59.5 м², А.Шарипова 100",523600000%Рассрочка,"Алматы, Алмалинский р-н",2024
"4-комнатная квартира, 137.65 м², мкр Коктобе, Сагадат Нурмагамбетова 138/2",156200000Ипека0%Рассрочка,"Алматы, Медеуский р-н",2023
"6-комнатная квартира, 199 м², 20-я улица 284",45000000Ипека0%Рассрочка,"Алматы, Турксибский р-н",2022
"1-комнатная квартира, 12 м², 1/2 этаж, мкр Кемел (Первомайское), актолкын 12г",5700000,"Алматы, Жетысуский р-н",2016
"1-комнатная квартира, 42 м², 6/12 этаж, Ауэзова 4",33000000,"Алматы, Алмалинский р-н",2023
"2-комнатная квартира, 50.9 м², 3/7 этаж, Толе би 160 — Угол Ауэзова",45000000,"Алматы, Алмалинский р-н",1976
"1-комнатная квартира, 31 м², 1/4 этаж, мкр Таугуль, Пятницкого 75",19900000,"Алматы, Ауэзовский р-н",1962
"3-комнатная квартира, 54 м², 9/13 этаж, Утеген батыра 17б",51000000,"Алматы, Ауэзовский р-н",2018
"3-комнатная квартира, 79 м², 6/6 этаж, Жунисова 10 к5",25000000,"Алматы, Наурызбайский р-н",2019
"3-комнатная квартира, 70 м², мкр Таугуль-2",46000000,"Алматы, Ауэзовский р-н",1990
"2-комнатная квартира, 43 м², 5/5 этаж, мкр Казахфильм",28000000,"Алматы, Бостандыкский р-н",1976
"2-комнатная квартира, 60 м², 1/9 этаж, мкр Думан-2 276",26500000,"Алматы, Медеуский р-н",2017
"3-комнатная квартира, 150 м², 5-й переулок 16/3",199500000,Алматы,2015
"2-комнатная квартира, 58 м², Абая 150/230",43000000,"Алматы, Бостандыкский р-н",2009
"2-комнатная квартира, 50 м², 1/5 этаж, мкр Айнабулак-3 128",32999990,"Алматы, Жетысуский р-н",1985
"3-комнатная квартира, 80.5 м², 10/10 этаж, мкр Жетысу-3 17",37000000,"Алматы, Ауэзовский р-н",2004
"3-комнатная квартира, 77 м², 9/10 этаж, мкр Аккент 65",32990000,"Алматы, Алатауский р-н",2022
"1-комнатная квартира, 33.8 м², мкр Мадениет, мкр. Мадениет",104780000%Рассрочка,"Алматы, Алатауский р-н",2023
"3-комнатная квартира, 60 м², 1/4 этаж, мкр Сайран 11",34500000,"Алматы, Ауэзовский р-н",1969
"3-комнатная квартира, 108 м², 6/20 этаж, Снегина 33А — ул. Снегина, уг. Мендикулова",112500000,"Алматы, Медеуский р-н",2016
"1-комнатная квартира, 18.8 м², 4/4 этаж, мкр №9 — Жандосова-Берегового",13500000,"Алматы, Ауэзовский р-н",1964
"2-комнатная квартира, 64.1 м², 14/16 этаж, Гагарина 233 — Березовского",65500000,"Алматы, Бостандыкский р-н",2022
"3-комнатная квартира, 111 м², 16/16 этаж, Гагарина проспект 124 — Абая",105000000,"Алматы, Бостандыкский р-н",2019
"3-комнатная квартира, 76 м², 8/9 этаж, Алмагуль 15",54990000,"Алматы, Бостандыкский р-н",1981
"2-комнатная квартира, 52.4 м², 9/16 этаж, Навои 208/7 — Торайгырова",51000000,"Алматы, Бостандыкский р-н",2015
"2-комнатная квартира, 41.2 м², 1/3 этаж, Жандосова",32800000,"Алматы, Бостандыкский р-н",1961
"2-комнатная квартира, 50 м², 11/12 этаж, Розыбакиева 336 — Ескараева",66000000,"Алматы, Бостандыкский р-н",2022
"2-комнатная квартира, 86 м², 2/3 этаж, Кербулакская",130000000,"Алматы, Медеуский р-н",2019
"3-комнатная квартира, 130 м², 19/22 этаж, Солодовникова 21а — Сатпаева",74000000,"Алматы, Бостандыкский р-н",2006
"2-комнатная квартира, 59 м², 8/9 этаж, мкр Жетысу-2 — Улугбека",37000000,"Алматы, Ауэзовский р-н",1992
"2-комнатная квартира, 57 м², 3/5 этаж, мкр Жулдыз-1",32000000,"Алматы, Турксибский р-н",1989
"2-комнатная квартира, 46.8 м², 4/4 этаж, Саина 14/1 — Толе би напротив ТРЦ МЕТРО",19650000,"Алматы, Ауэзовский р-н",1973
"1-комнатная квартира, 47 м², 2/4 этаж, мкр Зердели (Алгабас-6) 1/82",25000000,"Алматы, Алатауский р-н",2014
"3-комнатная квартира, 78 м², 3/10 этаж, Карасай батыра 119/95",85000000,"Алматы, Алмалинский р-н",2022
"1-комнатная квартира, 31 м², 7/12 этаж, Торайгырова 21/1 — Мустафина",31950000,"Алматы, Бостандыкский р-н",2021
"3-комнатная квартира, 100.63 м², 5/20 этаж, Тургут Озала",48300000,"Алматы, Бостандыкский р-н",2024
"2-комнатная квартира, 51.2 м², 2/5 этаж, Жарокова 225 — Басенова",46000000,"Алматы, Бостандыкский р-н",1989
"3-комнатная квартира, 62.2 м², 4/5 этаж, Жибек жолы / Весновка — Гоголя / Муратбаева",43000000,"Алматы, Алмалинский р-н",1977
"2-комнатная квартира, 60 м², 1/5 этаж, Жибек жолы 19 — Барибаева",55000000,"Алматы, Медеуский р-н",1972
"2-комнатная квартира, 40 м², 7/10 этаж, мкр Аксай-1",27600000,"Алматы, Ауэзовский р-н",2018
"3-комнатная квартира, 61.4 м², 2/3 этаж, мкр Алтай-1 — Супермаркет ""Романтик""",29000000,"Алматы, Турксибский р-н",1965
